ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685105475,278509048,15.1371,12.8964,-189.206,-0.210084,-0.234008,-0.949266,0.147946,-0.967362,0.205727,-0.966425,-0.0972199,0.237849
1685105475,303464832,15.1365,12.8984,-189.201,-0.210097,-0.233985,-0.949267,0.147979,-0.967363,0.205694,-0.966416,-0.0972565,0.237862
1685105475,328518614,15.1388,12.8912,-189.194,-0.210058,-0.234063,-0.949257,0.147982,-0.967345,0.205777,-0.966425,-0.0972479,0.237836
1685105475,353523216,15.1413,12.8917,-189.195,-0.210015,-0.234054,-0.94927,0.148013,-0.967343,0.205764,-0.96643,-0.0972904,0.2378
1685105475,378444068,15.1405,12.8952,-189.197,-0.210032,-0.234001,-0.949279,0.147992,-0.967357,0.205713,-0.966429,-0.0972789,0.237806
1685105475,403618654,15.1398,12.8937,-189.194,-0.210023,-0.234002,-0.949281,0.147967,-0.96736,0.205722,-0.966435,-0.0972559,0.237793
1685105475,428509380,15.1472,12.8959,-189.192,-0.20995,-0.233981,-0.9493,0.147982,-0.967361,0.205705,-0.966447,-0.097292,0.23772
1685105475,453576066,15.1429,12.8914,-189.191,-0.209999,-0.234036,-0.949276,0.14805,-0.967343,0.205739,-0.966426,-0.0973357,0.237788
1685105475,478440745,15.1431,12.8929,-189.191,-0.210008,-0.234032,-0.949277,0.148109,-0.967338,0.205719,-0.966417,-0.097394,0.237812
1685105475,503489679,15.1449,12.8975,-189.194,-0.209982,-0.233997,-0.949292,0.148135,-0.967343,0.205679,-0.966419,-0.0974343,0.237789
1685105475,528614816,15.1488,12.8974,-189.192,-0.209924,-0.233992,-0.949305,0.148134,-0.967343,0.20568,-0.96643,-0.0974472,0.23773
1685105475,553456882,15.1472,12.8951,-189.197,-0.209928,-0.234,-0.949303,0.14807,-0.967348,0.205704,-0.966441,-0.09738,0.237725
1685105475,578481942,15.1482,12.8931,-189.198,-0.209905,-0.234014,-0.949306,0.147968,-0.967354,0.205746,-0.966462,-0.0972787,0.237683
1685105475,603422135,15.1475,12.8987,-189.203,-0.209896,-0.233956,-0.949321,0.147859,-0.967378,0.205714,-0.96648,-0.097187,0.237645
1685105475,628437949,15.143,12.9013,-189.201,-0.209949,-0.233948,-0.94931,0.147916,-0.967375,0.205686,-0.966459,-0.0972348,0.237704
1685105475,653509343,15.1409,12.9055,-189.203,-0.209964,-0.233918,-0.949314,0.147902,-0.967383,0.205658,-0.966458,-0.0972249,0.237712
1685105475,678397873,15.135,12.9005,-189.197,-0.210049,-0.233973,-0.949282,0.147991,-0.967364,0.205684,-0.966425,-0.0972814,0.23782
