ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685629174,798309529,1.12691,1.70742,-139.874,-0.978499,0.146856,0.144819,-0.167514,-0.975499,-0.142622,0.120326,-0.163814,0.979129
1685629174,823273598,1.1259,1.70578,-139.872,-0.978499,0.146854,0.144824,-0.167511,-0.975501,-0.142611,0.120333,-0.163804,0.979128
1685629174,848258766,1.12511,1.70629,-139.874,-0.978497,0.146858,0.144832,-0.167517,-0.9755,-0.142611,0.12034,-0.163806,0.979125
1685629174,873226599,1.12558,1.70736,-139.876,-0.978499,0.146851,0.144829,-0.167513,-0.975496,-0.142642,0.120333,-0.163836,0.979124
1685629174,898195924,1.12551,1.70658,-139.875,-0.978498,0.146854,0.144831,-0.167515,-0.975497,-0.142635,0.120335,-0.163829,0.979124
1685629174,923188792,1.12488,1.70714,-139.876,-0.978497,0.146857,0.144835,-0.16752,-0.975495,-0.142645,0.120338,-0.16384,0.979121
1685629174,948252421,1.12374,1.70778,-139.876,-0.978496,0.146856,0.144842,-0.167521,-0.975494,-0.142649,0.120343,-0.163845,0.979121
1685629174,973216511,1.1232,1.70807,-139.877,-0.978495,0.146851,0.14485,-0.167517,-0.975496,-0.14264,0.120354,-0.163837,0.97912
1685629174,998277338,1.12389,1.70729,-139.878,-0.978497,0.146849,0.144844,-0.167512,-0.975499,-0.142627,0.120351,-0.163823,0.979124
1685629175,23200853,1.12465,1.70765,-139.879,-0.978498,0.146845,0.144838,-0.167506,-0.9755,-0.142626,0.120346,-0.163821,0.979123
1685629175,48285177,1.12595,1.7093,-139.881,-0.9785,0.146843,0.144825,-0.167507,-0.975494,-0.142663,0.120327,-0.163855,0.979119
1685629175,73286143,1.12517,1.71211,-139.882,-0.9785,0.146834,0.144838,-0.167504,-0.97549,-0.142694,0.120336,-0.163887,0.979114
1685629175,98222451,1.12484,1.7131,-139.883,-0.9785,0.146831,0.144838,-0.167503,-0.975487,-0.142714,0.120333,-0.163906,0.97911
1685629175,123223301,1.12542,1.71275,-139.882,-0.978499,0.14684,0.144834,-0.16751,-0.975488,-0.1427,0.12033,-0.163893,0.979111
1685629175,148217208,1.12488,1.71266,-139.883,-0.978498,0.14684,0.14484,-0.167511,-0.975488,-0.142701,0.120336,-0.163895,0.979111
1685629175,173199453,1.12537,1.71452,-139.885,-0.9785,0.146834,0.144837,-0.167509,-0.975483,-0.142738,0.120327,-0.16393,0.979107
1685629175,198163896,1.12549,1.71451,-139.885,-0.9785,0.146832,0.144839,-0.167511,-0.975479,-0.142765,0.120325,-0.163957,0.979103
1685629175,223133041,1.12628,1.71677,-139.886,-0.978502,0.146828,0.14483,-0.167506,-0.975478,-0.142774,0.120316,-0.163965,0.979102
1685629175,248153049,1.12563,1.7171,-139.885,-0.978501,0.146828,0.144833,-0.167507,-0.975478,-0.142775,0.120318,-0.163966,0.979102
1685629175,273166967,1.12519,1.71712,-139.885,-0.9785,0.146834,0.144836,-0.167513,-0.975477,-0.142772,0.12032,-0.163965,0.979103
